industry,total_revenue,total_bills,avg_revenue_per_bill,unique_franchises,cluster_label,low_confidence
"Shipping, Marine",104276.0,13,8021.2307692307695,5,Emerging / Niche,False
Waste management,101163.0,16,6322.6875,10,Emerging / Niche,False
Office Stationery,99720.0,13,7670.7692307692305,6,Emerging / Niche,False
"Agriculture, Horticulture, Agritech",97815.0,8,12226.875,5,Emerging / Niche,False
"real estate, renting, and business activities industry",93146.0,13,7165.076923076923,5,Emerging / Niche,False
Chemical Industry,78802.0,11,7163.818181818182,4,Emerging / Niche,False
Airlines,66931.0,11,6084.636363636364,4,Emerging / Niche,False
Diamond Cutting / Precious Metals / Jewellery,65369.0,11,5942.636363636364,6,Emerging / Niche,False
COSMETICS/PHARMACEUTICALS,62475.0,1,62475.0,1,New / Insufficient Data,True
"Retail, Consumer Goods, and Lifestyle",61164.0,8,7645.5,3,Emerging / Niche,False
Electrical/Electronic Industry,58549.0,5,11709.8,2,Emerging / Niche,True
Sustainability and Environmental Services,58456.0,3,19485.333333333332,3,Premium (High Value/Bill),False
Public relation,55665.0,5,11133.0,1,Emerging / Niche,True
library,53104.0,6,8850.666666666666,1,Emerging / Niche,True
Food & Beverages,51613.0,8,6451.625,1,Emerging / Niche,True
NGOs,49105.0,3,16368.333333333334,2,Premium (High Value/Bill),True
Service Providers and Others,49000.0,5,9800.0,4,Emerging / Niche,False
Iron & Steel,46291.0,8,5786.375,4,Emerging / Niche,False
Fitness,41795.0,5,8359.0,1,Emerging / Niche,True
Sports,36825.0,4,9206.25,3,Emerging / Niche,False
Agriculture Business,35361.0,3,11787.0,2,Emerging / Niche,True
"Leather, Accessories",34175.0,6,5695.833333333333,2,Emerging / Niche,True
Technology & IT Services,31458.0,4,7864.5,3,Emerging / Niche,False
Co Working Space,28583.0,2,14291.5,1,New / Insufficient Data,True
Accounts & Finance,27079.0,7,3868.4285714285716,2,Emerging / Niche,True
Consumer Durables,25802.0,5,5160.4,4,Emerging / Niche,False
Business Management- Consultant,24741.0,5,4948.2,2,Emerging / Niche,True
IT services and solutions company,24365.0,1,24365.0,1,New / Insufficient Data,True
Trader - Retailer,23709.0,3,7903.0,3,Emerging / Niche,False
PR,23428.0,1,23428.0,1,New / Insufficient Data,True
CA Firm - Accountants Firm - Audit firm - Law Firm,20648.0,6,3441.3333333333335,3,Emerging / Niche,False
"Travel, Hospitality, and Logistics",19523.0,2,9761.5,1,New / Insufficient Data,True
IT & ITES services,19209.0,2,9604.5,1,New / Insufficient Data,True
Mining & Metals,18191.0,4,4547.75,1,Emerging / Niche,True
Beauty & Cosmetics,18000.0,1,18000.0,1,New / Insufficient Data,True
Trading,17994.0,3,5998.0,1,Emerging / Niche,True
Jewelry,17169.0,1,17169.0,1,New / Insufficient Data,True
Telecommunication,15931.0,2,7965.5,2,New / Insufficient Data,True
Information Technology and Services,15432.0,3,5144.0,2,Emerging / Niche,True
Automobile Industry,14920.0,2,7460.0,1,New / Insufficient Data,True
Printing & Publishing,13276.0,1,13276.0,1,New / Insufficient Data,True
Product Design,12183.0,1,12183.0,1,New / Insufficient Data,True
Architecture & Interior Design,11246.0,1,11246.0,1,New / Insufficient Data,True
hvac,10933.0,1,10933.0,1,New / Insufficient Data,True
WAREHOUSING,10933.0,1,10933.0,1,New / Insufficient Data,True
Infrastructure,10800.0,1,10800.0,1,New / Insufficient Data,True
Event Management / Entertainment & Film Industry,10496.0,3,3498.6666666666665,2,Emerging / Niche,True
Engineering Consulting Services,9496.0,1,9496.0,1,New / Insufficient Data,True
Textile Industry,9371.0,2,4685.5,2,New / Insufficient Data,True
Rubber & Plastic,8622.0,2,4311.0,1,New / Insufficient Data,True
Digital Marketing - Internet Marketing - Web Development,8590.0,1,8590.0,1,New / Insufficient Data,True
software,8547.0,1,8547.0,1,New / Insufficient Data,True
Civil Engineering Services,8434.0,1,8434.0,1,New / Insufficient Data,True
Freight Forwarding,8434.0,2,4217.0,1,New / Insufficient Data,True
Payroll/HRMS,8191.0,3,2730.3333333333335,1,Emerging / Niche,True
Fast-moving Consumer goods & services,7594.0,1,7594.0,1,New / Insufficient Data,True
Security Services,7185.0,1,7185.0,1,New / Insufficient Data,True
Entertainment,7122.0,1,7122.0,1,New / Insufficient Data,True
Immigration & Naturalization,7028.0,1,7028.0,1,New / Insufficient Data,True
Legal Services,6747.0,1,6747.0,1,New / Insufficient Data,True
Firmware,6747.0,1,6747.0,1,New / Insufficient Data,True
Real Estate Reconstruction Funding,6560.0,1,6560.0,1,New / Insufficient Data,True
Non Profit Organization,6470.0,2,3235.0,1,New / Insufficient Data,True
Packaging industry,6185.0,1,6185.0,1,New / Insufficient Data,True
consumer Electronics,6157.0,1,6157.0,1,New / Insufficient Data,True
Solar Industry,5906.0,1,5906.0,1,New / Insufficient Data,True
Financial services,5217.0,1,5217.0,1,New / Insufficient Data,True
ISO Certification (Audit),4915.0,1,4915.0,1,New / Insufficient Data,True
Overseas education,4873.0,1,4873.0,1,New / Insufficient Data,True
Apperal-Fashion,4873.0,1,4873.0,1,New / Insufficient Data,True
Foods,4686.0,1,4686.0,1,New / Insufficient Data,True
informatio technology n services,4686.0,1,4686.0,1,New / Insufficient Data,True
Photography studio,4686.0,1,4686.0,1,New / Insufficient Data,True
information technology,4498.0,1,4498.0,1,New / Insufficient Data,True
Kitchen Articles,4123.0,1,4123.0,1,New / Insufficient Data,True
Clinical Research,3713.0,1,3713.0,1,New / Insufficient Data,True
Semiconductor,3186.0,1,3186.0,1,New / Insufficient Data,True
Beauty & Personal Care,2811.0,1,2811.0,1,New / Insufficient Data,True
Wholesale Trading & Distribution,2249.0,1,2249.0,1,New / Insufficient Data,True
Media,0.0,7,0.0,1,Emerging / Niche,True
ART,0.0,1,0.0,1,New / Insufficient Data,True
Aviation,0.0,1,0.0,1,New / Insufficient Data,True
Financial Services,0.0,2,0.0,1,New / Insufficient Data,True
Coworking spaces,0.0,1,0.0,1,New / Insufficient Data,True
Tea,0.0,1,0.0,1,New / Insufficient Data,True
"oil,gas,power,energy",0.0,1,0.0,1,New / Insufficient Data,True
